,id,date,team1,team2,score1,score2,vegas_spread,money_line1,money_line2,over_under,elo_prob1,raptor_prob1,elo_spread,raptor_spread
0,0,2019-10-22,TOR,NO,130,122,-6.5,-280,230,229.5,0.8868,0.7002,-13.0,-5.5
1,1,2019-10-22,LAC,LAL,112,102,3.5,150,-180,224.0,0.6958,0.5666,-5.0,-1.5
2,2,2019-10-23,IND,DET,110,119,-7.0,-300,240,211.0,0.6835,0.7627,-5.0,-7.0
3,3,2019-10-23,ORL,CLE,94,85,-9.5,-550,400,211.5,0.8443,0.8311,-10.5,-10.0
4,4,2019-10-23,CHA,CHI,126,125,3.5,145,-170,216.5,0.8055,0.4885,-9.0,0.5
5,5,2019-10-23,PHI,BOS,107,93,-5.5,-240,190,214.5,0.6462,0.7343,-3.5,-6.5
6,6,2019-10-23,MIA,MEM,120,101,-6.5,-300,240,213.0,0.6909,0.6887,-5.0,-5.0
7,7,2019-10-23,BKN,MIN,126,127,-3.5,-165,142,229.0,0.678,0.5387,-4.5,-1.0
8,8,2019-10-23,SA,NY,120,111,-11.0,-750,525,214.5,0.8729,0.8546,-12.0,-11.0
9,9,2019-10-23,DAL,WAS,108,100,-9.0,-450,350,220.0,0.6755,0.8083,-4.5,-9.0
10,10,2019-10-23,UTA,OKC,100,95,-9.0,-500,375,221.5,0.6962,0.7405,-5.0,-6.5
11,11,2019-10-23,PHX,SAC,124,95,1.0,-105,-115,232.5,0.457,0.6794,1.0,-4.5
12,12,2019-10-23,POR,DEN,100,108,1.5,100,-120,217.5,0.6617,0.4688,-4.0,1.0
13,13,2019-10-24,DET,ATL,100,117,-1.5,-125,105,221.5,0.7239,0.5809,-6.0,-2.0
14,14,2019-10-24,HOU,MIL,111,117,-1.5,-120,100,231.0,0.6531,0.7307,-4.0,-6.0
15,15,2019-10-24,GS,LAC,122,141,0.0,-110,-110,229.5,0.7724,0.6687,-7.5,-4.5
16,16,2019-10-25,BOS,TOR,112,106,-2.5,-140,120,213.0,0.4925,0.6258,0.0,-3.0
17,17,2019-10-25,CHA,MIN,99,121,5.0,180,-220,225.0,0.6751,0.3335,-4.5,4.5
18,18,2019-10-25,BKN,NY,113,109,-8.0,-360,280,228.0,0.8267,0.8543,-9.5,-11.0
19,19,2019-10-25,OKC,WAS,85,97,-8.5,-400,300,218.0,0.7784,0.809,-8.0,-9.0
20,20,2019-10-25,NO,DAL,116,123,-2.0,-130,110,227.0,0.5661,0.563,-1.5,-1.5
21,21,2019-10-25,MEM,CHI,102,110,2.0,105,-125,224.0,0.7609,0.6278,-7.0,-3.0
22,22,2019-10-25,DEN,PHX,108,107,-12.0,-1000,650,219.5,0.8744,0.8379,-12.0,-10.0
23,23,2019-10-25,SAC,POR,112,122,1.0,100,-120,227.5,0.436,0.5739,1.5,-2.0
24,24,2019-10-25,LAL,UTA,95,86,-3.5,-160,140,215.5,0.4538,0.6543,1.0,-4.0
25,25,2019-10-26,MIL,MIA,126,131,-11.5,-800,550,223.0,0.8051,0.8826,-9.0,-12.5
26,26,2019-10-26,DET,PHI,111,117,4.5,160,-190,213.0,0.4646,0.4476,1.0,1.5
27,27,2019-10-26,NY,BOS,95,118,5.5,190,-240,218.5,0.2827,0.2683,6.0,6.0
28,28,2019-10-26,ATL,ORL,103,99,2.5,115,-135,216.5,0.503,0.4577,0.0,1.0
29,29,2019-10-26,CLE,IND,110,99,4.5,160,-190,213.0,0.432,0.4235,1.5,2.0
30,30,2019-10-26,CHI,TOR,84,108,3.0,135,-155,219.5,0.2391,0.4933,7.0,0.0
31,31,2019-10-26,HOU,NO,126,123,-12.0,-1000,650,238.5,0.8749,0.8723,-12.0,-12.0
